name,G,GS,IP,ERA,W,L,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,start BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war
폰트,25,25,145.2,3.46,8,5,13,52,5,20,5,0,0,76,4.7,14,8,63.6,0,0,2,0,0,5.83,101.04,56.84,1.42,4.01
박종훈,9,9,54.1,2.82,4,2,6,66.7,2,22.2,1,0,0,29,4.8,6,3,66.7,0,0,4,1,25,6.04,96.33,57.67,1.13,2.1
문승원,9,9,50.1,2.86,2,2,5,55.6,1,11.1,2,0,0,27,4.8,5,4,55.6,0,0,1,0,0,5.59,95.33,54.11,0.77,1.67
가빌리오,15,15,81.1,5.86,6,4,5,33.3,1,6.7,3,0,0,82,9.1,8,6,57.1,0,0,9,4,44.4,5.42,85.73,45.47,-0.57,0.88
이태양,40,14,76.2,5.87,2,9,4,28.6,1,7.1,4,0,0,42,4.9,2,11,15.4,0,0,11,2,18.2,5.48,83.07,43.79,-0.51,0.85
조영우,30,8,36.2,4.91,2,3,1,12.5,0,0,3,0,0,28,6.9,3,4,42.9,0,0,12,7,58.3,4.58,75.75,46.5,-0.1,0.55
르위키,4,4,14.1,3.77,1,0,2,50,0,0,2,0,0,9,5.7,3,1,75,0,0,2,1,50,3.58,53.75,51,0.2,0.45
정수민,10,7,27.1,5.6,1,2,0,0,0,0,5,0,0,18,5.9,3,4,42.9,0,0,11,2,18.2,3.9,77.71,44,-0.1,0.38
최민준,38,12,51,6.71,2,3,1,8.3,1,8.3,6,0,0,50,8.8,6,4,60,0,0,17,6,35.3,4.25,81.17,42.92,-0.73,0.17
김건우,6,4,7,6.43,0,0,0,0,0,0,3,0,0,2,2.6,0,2,0,0,0,8,4,50,1.75,45.25,45.5,-0.03,0.1
조병현,3,3,6.2,8.1,0,0,0,0,0,0,3,0,0,1,1.4,0,1,0,0,0,2,0,0,2.22,49.33,44.33,-0.22,-0.1
양선률,1,1,1,27,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,1,52,33,-0.19,-0.18
신재영,20,1,2.2,16.88,0,0,0,0,0,0,0,0,0,12,40.5,0,1,0,0,0,7,2,28.6,2.67,57,25,-0.28,-0.23
김정빈,6,6,17.1,9.87,0,1,0,0,0,0,3,0,0,15,7.8,2,3,40,0,0,6,1,16.7,2.89,67.67,39.17,-0.7,-0.39
오원석,33,21,91,6.33,5,6,5,23.8,0,0,6,0,0,88,8.7,13,7,65,0,0,14,2,14.3,4.33,83.81,41.38,-2.04,-0.43
이건욱,5,4,11,13.09,0,1,0,0,0,0,2,0,0,5,4.1,1,3,25,0,0,5,1,20,2.75,62.75,30.5,-0.63,-0.43
서동민,20,0,0,,0,0,0,,0,,0,0,0,14,,0,0,,0,0,4,0,0,,,,,
김강민,1,0,0,,0,0,0,,0,,0,0,0,0,,0,0,,0,0,0,0,,,,,,
강지광,1,0,0,,0,0,0,,0,,0,0,0,1,,0,0,,0,0,0,0,,,,,,
김택형,59,0,0,,0,0,0,,0,,0,0,0,42,,0,0,,0,0,5,1,20,,,,,
김상수,50,0,0,,0,0,0,,0,,0,0,0,26,,0,0,,0,0,10,2,20,,,,,
서진용,65,0,0,,0,0,0,,0,,0,0,0,34,,0,0,,0,0,13,3,23.1,,,,,
정동윤,1,0,0,,0,0,0,,0,,0,0,0,0,,0,0,,0,0,0,0,,,,,,
하재훈,18,0,0,,0,0,0,,0,,0,0,0,8,,0,0,,0,0,8,3,37.5,,,,,
박민호,40,0,0,,0,0,0,,0,,0,0,0,35,,0,0,,0,0,12,2,16.7,,,,,
정영일,1,0,0,,0,0,0,,0,,0,0,0,1,,0,0,,0,0,0,0,,,,,,
이채호,3,0,0,,0,0,0,,0,,0,0,0,6,,0,0,,0,0,0,0,,,,,,
조요한,6,0,0,,0,0,0,,0,,0,0,0,2,,0,0,,0,0,3,0,0,,,,,
김세현,5,0,0,,0,0,0,,0,,0,0,0,0,,0,0,,0,0,6,1,16.7,,,,,
신재웅,8,0,0,,0,0,0,,0,,0,0,0,5,,0,0,,0,0,2,1,50,,,,,
김주온,2,0,0,,0,0,0,,0,,0,0,0,2,,0,0,,0,0,0,0,,,,,,
장지훈,60,0,0,,0,0,0,,0,,0,0,0,49,,0,0,,0,0,22,12,54.5,,,,,
김태훈,65,0,0,,0,0,0,,0,,0,0,0,46,,0,0,,0,0,26,13,50,,,,,
