name,G,GS,IP,ERA,W,L,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,start BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war
미란다,28,28,173.2,2.33,14,5,21,75,12,42.9,4,0,0,104,5.4,18,10,64.3,0,0,8,1,12.5,6.2,104.21,62.46,4.4,7.49
최원준,29,29,158.1,3.3,12,4,15,51.7,4,13.8,8,0,0,113,6.4,21,7,75,0,0,22,6,27.3,5.46,92.31,52.38,2.08,4.89
로켓,21,21,124,2.98,9,9,14,66.7,3,14.3,2,0,0,82,6,10,10,50,0,0,9,3,33.3,5.9,96.14,54,2.21,4.42
곽빈,21,21,98.2,4.1,4,7,1,4.8,0,0,16,0,0,50,4.6,7,11,38.9,0,0,25,7,28,4.7,89.38,49.76,0.66,2.42
김민규,31,6,23,6.26,0,1,0,0,0,0,4,0,0,30,11.7,3,3,50,0,0,14,6,42.9,3.83,69.5,42.67,-0.28,0.13
현도훈,5,2,5.1,8.44,0,0,0,0,0,0,2,0,0,1,1.7,1,0,100,0,0,8,4,50,2.67,56,43.5,-0.12,-0.03
김명신,58,1,1.2,10.8,0,0,0,0,0,0,1,0,0,49,100,1,0,100,0,0,19,7,36.8,1.67,39,37,-0.06,-0.03
최승용,15,2,3.2,7.36,0,0,0,0,0,0,2,0,0,11,27,1,1,50,0,0,8,0,0,1.83,46.5,39.5,-0.29,-0.23
박소준,22,5,19.2,8.69,0,3,0,0,0,0,2,0,0,23,10.5,0,4,0,0,0,16,4,25,3.93,74,35.2,-0.67,-0.32
조제영,6,1,1.1,40.5,0,1,0,0,0,0,0,0,0,1,6.8,0,1,0,0,0,3,1,33.3,1.33,45,19,-0.38,-0.36
박정수,9,2,8.2,13.5,0,2,0,0,0,0,0,0,0,4,4.2,0,2,0,0,0,5,5,100,4.33,98,23.5,-0.58,-0.43
유희관,15,15,63,7.71,4,7,3,20,0,0,3,0,0,46,6.6,5,10,33.3,0,0,8,3,37.5,4.2,78.93,34.93,-1.69,-0.57
이영하,35,11,45,9.8,1,5,1,9.1,0,0,3,0,0,65,13,4,6,40,0,0,20,3,15,4.09,81.45,32.36,-2.21,-1.41
김강률,50,0,0,,0,0,0,,0,,0,0,0,5,,0,0,,0,0,5,1,20,,,,,
최세창,1,0,0,,0,0,0,,0,,0,0,0,1,,0,0,,0,0,0,0,,,,,,
김도윤,1,0,0,,0,0,0,,0,,0,0,0,3,,0,0,,0,0,0,0,,,,,,
이현승,38,0,0,,0,0,0,,0,,0,0,0,13,,0,0,,0,0,14,5,35.7,,,,,
이형범,4,0,0,,0,0,0,,0,,0,0,0,0,,0,0,,0,0,5,0,0,,,,,
고봉재,1,0,0,,0,0,0,,0,,0,0,0,1,,0,0,,0,0,0,0,,,,,,
남호,5,0,0,,0,0,0,,0,,0,0,0,0,,0,0,,0,0,3,2,66.7,,,,,
홍건희,65,0,0,,0,0,0,,0,,0,0,0,40,,0,0,,0,0,26,7,26.9,,,,,
유재유,4,0,0,,0,0,0,,0,,0,0,0,1,,0,0,,0,0,0,0,,,,,,
문대원,2,0,0,,0,0,0,,0,,0,0,0,0,,0,0,,0,0,0,0,,,,,,
박웅,10,0,0,,0,0,0,,0,,0,0,0,1,,0,0,,0,0,0,0,,,,,,
장원준,32,0,0,,0,0,0,,0,,0,0,0,12,,0,0,,0,0,24,7,29.2,,,,,
이승진,47,0,0,,0,0,0,,0,,0,0,0,20,,0,0,,0,0,34,13,38.2,,,,,
이교훈,11,0,0,,0,0,0,,0,,0,0,0,5,,0,0,,0,0,2,1,50,,,,,
윤명준,45,0,0,,0,0,0,,0,,0,0,0,43,,0,0,,0,0,19,7,36.8,,,,,
박치국,23,0,0,,0,0,0,,0,,0,0,0,10,,0,0,,0,0,12,4,33.3,,,,,
권휘,24,0,0,,0,0,0,,0,,0,0,0,4,,0,0,,0,0,14,1,7.1,,,,,
