name,G,GS,IP,ERA,W,L,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,start BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war
요키시,31,31,181.1,2.93,16,9,17,54.8,8,25.8,6,0,0,121,6,16,12,57.1,0,0,15,3,20,5.85,91.61,54.48,2.9,6.13
안우진,21,21,107.2,3.26,8,8,8,38.1,2,9.5,11,0,0,60,5,11,10,52.4,0,0,10,2,20,5.13,88.9,54.48,1.11,3.02
한현희,18,15,81,3.89,5,2,5,33.3,1,6.7,8,0,0,50,5.6,9,6,60,0,0,13,7,53.8,5.4,86.6,50.6,0.71,2.15
브리검,10,10,61,2.95,7,3,6,60,4,40,1,0,0,60,8.9,7,3,70,0,0,6,1,16.7,6.1,94.2,55.8,0.82,1.91
최원태,28,28,143.1,4.58,9,11,11,39.3,3,10.7,8,0,0,94,5.9,13,15,46.4,0,0,16,8,50,5.12,86.54,46.07,-0.87,1.68
정찬헌,11,11,56.1,3.99,3,3,6,54.5,0,0,2,0,0,23,3.7,6,4,60,0,0,3,1,33.3,5.12,85.09,48.18,0.45,1.45
김선기,21,7,34,5.56,1,1,2,28.6,0,0,3,0,0,32,8.5,2,3,40,0,0,16,11,68.8,4.86,79.86,45,0.19,0.79
김동혁,40,8,36.1,5.7,0,4,1,12.5,0,0,5,0,0,35,8.7,2,5,28.6,0,0,11,4,36.4,4.54,75.25,42.63,-0.42,0.23
김정인,11,6,26,5.88,1,2,0,0,0,0,4,0,0,17,5.9,2,4,33.3,0,0,2,1,50,4.33,82,45.5,-0.32,0.15
스미스,2,2,10,6.3,1,0,1,50,1,50,0,0,0,11,9.9,1,1,50,0,0,0,0,,5,90,45,-0.15,0.03
장재영,19,2,2.1,23.14,0,1,0,0,0,0,1,0,0,5,19.3,0,2,0,0,0,14,7,50,1.17,35,36,-0.24,-0.2
이승호,38,3,10,9.9,0,2,0,0,0,0,1,0,0,33,29.7,1,2,33.3,0,0,11,6,54.5,3.33,66.33,28.67,-0.89,-0.72
문성현,4,0,0,,0,0,0,,0,,0,0,0,3,,0,0,,0,0,0,0,,,,,,
김태훈,66,0,0,,0,0,0,,0,,0,0,0,26,,0,0,,0,0,16,2,12.5,,,,,
조영건,1,0,0,,0,0,0,,0,,0,0,0,0,,0,0,,0,0,0,0,,,,,,
박관진,2,0,0,,0,0,0,,0,,0,0,0,0,,0,0,,0,0,4,3,75,,,,,
양현,45,0,0,,0,0,0,,0,,0,0,0,26,,0,0,,0,0,24,6,25,,,,,
박주성,13,0,0,,0,0,0,,0,,0,0,0,15,,0,0,,0,0,2,0,0,,,,,
김준형,14,0,0,,0,0,0,,0,,0,0,0,12,,0,0,,0,0,1,1,100,,,,,
오주원,22,0,0,,0,0,0,,0,,0,0,0,3,,0,0,,0,0,4,3,75,,,,,
조상우,44,0,0,,0,0,0,,0,,0,0,0,23,,0,0,,0,0,2,0,0,,,,,
김성민,47,0,0,,0,0,0,,0,,0,0,0,15,,0,0,,0,0,11,5,45.5,,,,,
김인범,3,0,0,,0,0,0,,0,,0,0,0,3,,0,0,,0,0,0,0,,,,,,
김재웅,51,0,0,,0,0,0,,0,,0,0,0,18,,0,0,,0,0,13,6,46.2,,,,,
임규빈,5,0,0,,0,0,0,,0,,0,0,0,5,,0,0,,0,0,0,0,,,,,,
윤정현,10,0,0,,0,0,0,,0,,0,0,0,9,,0,0,,0,0,0,0,,,,,,
김동욱,3,0,0,,0,0,0,,0,,0,0,0,1,,0,0,,0,0,0,0,,,,,,
김성진,46,0,0,,0,0,0,,0,,0,0,0,18,,0,0,,0,0,16,10,62.5,,,,,
박승주,3,0,0,,0,0,0,,0,,0,0,0,3,,0,0,,0,0,2,0,0,,,,,
이종민,2,0,0,,0,0,0,,0,,0,0,0,1,,0,0,,0,0,0,0,,,,,,
