Name,Team,Season,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,strat BQ,start BQS,start BQS%,IP/GS,P/GS,starter waa,starter war,2time,3time,plus 1,SV,HD_1,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,closer war,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%,ESPN,PPF,PF_inverse,Predicted_Ridge_ERA,New_ridge_ERA,Normalized_New_ridge_ERA,lasso_Predicted_ERA,New_Lasso_ERA,Normalized_New_Lasso_ERA,Predicted_Elastic_ERA,New_Elastic_ERA,Normalized_New_Elastic_ERA,Predicted_ERA_XGBoost,New_xgboost_ERA,Normalized_New_xgboost_ERA
놀린,KIA,22,4.61,21,21,0,0,0,0,8,8,0,0,124,34,41,40,512,115,19,2,7,24,8,1,108,9,1,4,2.47,2.98,2.9,2.96,3.05,1.12,7.84,1.74,4.5,0.51,21.1,4.7,16.4,0.3,77.4,2.46,3.43,-0.59,61.29,65.72,75.84,0.244,0.29,0.338,0.628,1987,94.6,16,3.88,13,61.9,6,28.6,8,0,0,61,4.4,10,11,47.6,0,0,6,1,16.7,5.9,94.62,2.41,4.61,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,0,0,6,1,16.7,0,0,0,360,47.6,5.4,43.3,48.7,3.8,1,3.9,9.6,1.016175,0.9985,1.001502253,59.63489318,59.7244799,0.128713452,59.48169778,59.57105436,0.127364143,59.48169778,59.57105436,0.127364143,61.12471,61.21653489,0.10540951
양현종,KIA,22,3.46,30,30,0,0,0,0,12,7,0,0,175.1,75,86,85.15,743,170,33,3,14,50,3,1,141,11,0,3,3.85,4.41,4.37,4.44,3.66,1.25,7.24,2.57,2.82,0.72,19,6.7,12.2,0.297,67.5,2.8,3.93,0.19,95.62,98.57,90.92,0.253,0.304,0.374,0.678,2856,95.2,16.3,3.84,16,53.3,4,13.3,4,0,0,104,5.3,14,15,48.3,0,0,9,2,22.2,5.84,95.2,0.34,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11,0,0,0,9,2,22.2,0,0,0,526,47,4.6,45.4,49.9,3.1,0.9,5.1,8.2,1.016175,0.9985,1.001502253,88.13585493,88.26825731,0.268375898,88.15501119,88.28744236,0.266582998,88.15501119,88.28744236,0.266582998,95.07308,95.21590583,0.299073232
파노니,KIA,22,2.75,14,14,0,0,0,0,3,4,0,0,82.2,25,33,29.4,348,78,6,1,5,24,2,0,73,7,0,5,2.72,3.59,3.2,3.28,3.27,1.23,7.95,2.61,3.04,0.54,21,6.9,14.1,0.308,73.2,2.64,3.71,-0.55,67.6,72.69,81.25,0.248,0.305,0.322,0.627,1404,100.3,17,4.03,8,57.1,4,28.6,3,0,0,47,5.1,7,7,50,0,0,11,6,54.5,5.9,100.29,1.28,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,11,6,54.5,0,0,0,237,45.8,6.4,45,51.4,2.8,0.9,3.9,5.1,1.016175,0.9985,1.001502253,71.58198965,71.68952393,0.187257467,71.62007488,71.72766638,0.186300162,71.62007488,71.72766638,0.186300162,69.96183,70.06693053,0.155822224
양현종,KIA,23,4.15,29,29,0,0,0,0,9,11,0,0,171,68,78,76.45,729,181,33,1,13,48,1,1,133,9,0,5,3.58,4.11,4.02,4.13,3.7,1.34,7,2.53,2.77,0.68,18.2,6.6,11.7,0.322,71.7,2.87,4,-0.12,88.56,91.23,91.5,0.272,0.321,0.383,0.704,2751,94.9,16.1,3.77,14,48.3,7,24.1,8,2,0,81,4.3,10,18,35.7,1,0,12,3,25,5.9,94.86,1.11,4.15,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,0,0,0,12,3,25,0,0,0,522,46.3,6.8,44.8,51.6,2.2,0.9,4.6,5,0.948582,0.965,1.03626943,83.32396344,86.3460761,0.258970817,83.18262624,86.19961268,0.256461068,83.18262624,86.19961268,0.256461068,82.15543,85.13516441,0.241652349
이의리,KIA,23,3.29,28,28,0,0,0,0,11,7,0,0,131.2,58,64,57.45,598,103,18,0,4,93,8,1,156,12,0,10,3.96,4.37,3.93,4.05,3.63,1.49,10.66,6.36,1.68,0.27,26.1,15.6,10.5,0.3,70.7,3.32,4.14,0.34,98.1,89.49,89.75,0.213,0.345,0.275,0.62,2546,90.9,19.3,4.26,6,21.4,2,7.1,16,0,2,96,6.6,19,9,67.9,0,3,24,12,50,4.7,90.93,0.95,3.29,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,0,0,24,12,50,0,0,0,330,46.3,6.7,44.9,51.6,2.1,0.9,2.3,9.7,0.948582,0.965,1.03626943,87.17065234,90.33228222,0.278475009,87.27355542,90.43891753,0.277013485,87.27355542,90.43891753,0.277013485,97.05716,100.5773673,0.329612638
앤더슨,KIA,23,1.57,14,14,0,0,0,0,4,7,0,0,79,33,42,39.05,336,76,12,3,6,26,2,0,64,8,0,10,3.76,4.78,4.45,4.53,3.83,1.29,7.29,2.96,2.46,0.68,19,7.7,11.3,0.298,64.6,2.99,4.04,-0.07,93.03,100.03,94.69,0.252,0.312,0.371,0.683,1312,93.7,16.6,3.9,8,57.1,3,21.4,2,1,0,33,3.8,5,9,35.7,0,0,12,5,41.7,5.64,93.71,0.16,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,12,5,41.7,0,0,0,235,46.3,5.7,46.3,52,1.6,0.9,4.7,7.9,0.948582,0.965,1.03626943,95.25434191,98.7091626,0.319462422,95.36964446,98.82864711,0.317687421,95.36964446,98.82864711,0.317687421,93.80785,97.21021109,0.310432989
메디나,KIA,23,0.18,12,12,0,0,0,0,2,6,0,0,58,39,42,39.25,269,64,16,1,6,29,9,0,36,2,1,5,6.05,6.52,6.09,6.33,5.56,1.6,5.59,4.5,1.24,0.93,13.4,10.8,2.6,0.312,63.8,4.39,5.09,0.49,149.75,140.02,137.58,0.283,0.383,0.442,0.825,1003,83.6,17.3,3.73,3,25,1,8.3,5,0,0,34,5.3,4,8,33.3,0,0,8,5,62.5,4.83,83.58,-0.85,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,8,5,62.5,0,0,0,186,54.9,2.1,40,42.1,3.1,1.3,7.3,4.7,0.948582,0.965,1.03626943,132.8780615,137.6974731,0.510229142,132.949,137.7709845,0.506482322,132.949,137.7709845,0.506482322,144.90068,150.1561456,0.61201818
양현종,KIA,24,5.01,29,29,0,3,3,0,11,5,0,0,171.1,78,86,83.1,727,174,37,6,21,41,6,0,129,11,0,2,4.1,4.52,4.37,4.37,4.63,1.25,6.78,2.15,3.15,1.1,17.7,5.6,12.1,0.29,70.3,3.28,3.95,-0.53,83.1,80.38,95.35,0.257,0.305,0.422,0.727,2620,90.3,15.3,3.6,15,51.7,6,20.7,4,0,0,130,6.8,23,6,79.3,0,0,12,6,50,5.91,90.34,1.97,5.01,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,0,0,0,12,6,50,0,0,0,528,41.7,5.1,49,54.1,4.2,0.8,7,6.3,0.97482,0.9881,1.012043315,90.99772921,92.09364357,0.28709321,90.82385282,91.91767313,0.284182585,90.82385282,91.91767313,0.284182585,86.48933,87.53094472,0.255298947
네일,KIA,24,4.9,26,26,0,0,0,0,12,5,0,0,149.1,42,69,67.3,642,154,27,1,11,35,9,0,138,17,1,3,2.53,4.16,4.06,4.04,3.68,1.27,8.32,2.11,3.94,0.66,21.5,5.5,16,0.321,70.5,2.88,3.47,-1.15,51.34,74.39,75.83,0.259,0.31,0.364,0.674,2398,92.2,16.1,3.74,13,50,3,11.5,5,0,0,107,6.4,15,10,60,0,0,10,3,30,5.74,92.23,2.24,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,0,0,0,10,3,30,0,0,0,446,57,3,36.5,39.6,3.5,1.4,6,7.8,0.97482,0.9881,1.012043315,81.4077859,82.38820554,0.23960527,81.47635825,82.45760374,0.238319573,81.47635825,82.45760374,0.238319573,60.445812,61.17378021,0.105165975
윤영철,KIA,24,2.18,18,18,0,0,0,0,7,4,0,0,81.2,38,44,42.65,362,82,14,1,8,43,1,0,58,7,0,1,4.19,4.85,4.7,4.61,5.26,1.53,6.39,4.74,1.35,0.88,16,11.9,4.1,0.3,71.3,4.19,4.9,-1.07,84.94,84.75,108.41,0.263,0.353,0.391,0.744,1444,80.2,17.7,3.99,3,16.7,0,0,9,0,0,51,5.6,9,8,52.9,0,0,10,3,30,4.54,80.22,0.73,2.18,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,10,3,30,0,0,0,247,48.5,6.5,40.8,47.3,4.2,1,6.5,8.5,0.97482,0.9881,1.012043315,101.0934368,102.3109369,0.337085619,100.8474328,102.0619703,0.333362775,100.8474328,102.0619703,0.333362775,89.492905,90.57069594,0.272613665
뷰캐넌,Samsung,22,5.47,26,26,0,1,1,1,11,8,0,0,160,54,61,60.3,691,176,29,2,10,39,8,0,117,6,0,2,3.04,3.43,3.39,3.22,3.61,1.34,6.58,2.19,3,0.56,16.9,5.6,11.3,0.327,77.5,2.94,4.05,-0.57,71.65,67.87,85.16,0.279,0.327,0.379,0.706,2605,100.2,16.3,3.77,21,80.8,9,34.6,3,0,0,81,4.6,16,10,61.5,0,0,8,1,12.5,6.15,100.19,2.62,5.47,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,0,0,0,8,1,12.5,0,0,0,508,58.3,3.8,35.3,39.1,2.7,1.5,4.9,10.8,1.101488,1.0541,0.948676596,71.38703695,67.72321122,0.167850612,71.06407073,67.41682073,0.165400911,71.06407073,67.41682073,0.165400911,69.89252,66.30539521,0.134396153
원태인,Samsung,22,4.37,27,27,0,0,0,0,10,8,0,0,165.1,72,75,73.3,700,175,25,1,16,38,4,3,130,8,0,3,3.92,4.08,3.99,3.86,3.72,1.29,7.08,2.07,3.42,0.87,18.6,5.4,13.1,0.314,72.8,2.66,3.82,0.2,92.45,81.41,87.75,0.27,0.312,0.386,0.698,2669,98.9,16.1,3.81,11,40.7,10,37,6,0,0,95,5.2,13,13,50,0,0,8,3,37.5,6.12,98.85,1.43,4.37,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,8,3,37.5,0,0,0,507,43.6,5.5,47.9,53.4,3,0.8,5.7,6.3,1.101488,1.0541,0.948676596,81.94629909,77.74053608,0.216864591,81.84347077,77.64298526,0.214978,81.84347077,77.64298526,0.214978,88.651215,84.10133251,0.235763542
백정현,Samsung,22,1.51,24,24,0,0,0,0,4,13,0,0,124.2,73,76,73.75,562,154,27,2,22,37,9,1,70,9,0,9,5.27,5.49,5.32,5.2,5.62,1.53,5.05,2.67,1.89,1.59,12.5,6.6,5.9,0.314,73.4,3.62,4.7,-0.35,124.31,109.53,132.67,0.302,0.358,0.492,0.85,2075,86.5,16.6,3.69,7,29.2,1,4.2,9,0,0,46,3.3,7,17,29.2,0,0,12,4,33.3,5.19,86.46,-0.71,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0,12,4,33.3,0,0,0,420,47.5,5.6,43.5,49.1,3.4,1,10,9.1,1.101488,1.0541,0.948676596,113.1661535,107.3580813,0.361780897,112.8223,107.0318755,0.357457188,112.8223,107.0318755,0.357457188,104.74568,99.36977684,0.322734086
허윤동,Samsung,22,0.15,12,12,0,0,0,0,4,3,0,0,55,40,43,40.05,264,64,13,0,8,34,6,0,36,1,0,2,6.55,7.04,6.55,6.26,6.13,1.78,5.89,5.56,1.06,1.31,13.6,12.9,0.8,0.315,65.6,4.52,5.31,0.41,154.4,131.85,144.67,0.298,0.397,0.47,0.867,985,82.1,17.9,3.73,1,8.3,0,0,6,0,0,43,7,4,8,33.3,0,0,8,5,62.5,4.58,82.08,-0.83,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,8,5,62.5,0,0,0,178,33,7.4,56.4,63.8,3.2,0.5,6.7,6.3,1.101488,1.0541,0.948676596,143.9926439,136.6024513,0.504871287,143.9381793,136.550782,0.500566703,143.9381793,136.550782,0.500566703,157.53143,149.4463837,0.607975307
뷰캐넌,Samsung,23,6.29,30,30,0,1,1,0,12,8,0,0,188,53,71,69.95,784,174,25,2,4,43,6,1,139,13,1,7,2.54,3.4,3.35,3.25,3.05,1.15,6.65,2.06,3.23,0.19,17.7,5.5,12.2,0.291,70,2.85,3.93,-0.51,59.25,67.87,71.12,0.241,0.287,0.298,0.585,2984,99.5,15.9,3.81,21,70,12,40,3,2,0,94,4.5,17,13,56.7,0,0,5,2,40,6.27,99.47,2.95,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,0,0,0,5,2,40,0,0,0,584,56,4.5,36.4,40.9,3,1.4,1.6,9.8,1.061897,1.029,0.971817298,68.95181583,67.00856738,0.164353916,69.11924461,67.17127756,0.164210503,69.11924461,67.17127756,0.164210503,61.90743,60.16271015,0.099406822
원태인,Samsung,23,4.43,26,26,0,0,0,0,7,7,0,0,150,54,61,59.95,634,157,26,1,15,34,6,2,102,4,2,6,3.24,3.66,3.6,3.58,4.17,1.27,6.12,2.04,3,0.9,16.1,5.4,10.7,0.301,77.3,3.06,4.11,-0.93,75.66,74.71,97.28,0.268,0.313,0.393,0.706,2521,97,16.8,3.98,17,65.4,5,19.2,4,1,0,74,4.4,12,13,48,0,2,9,2,22.2,5.77,96.96,1.76,4.43,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,0,0,0,9,2,22.2,0,0,0,472,40.2,5.3,51.2,56.5,3.3,0.7,5.4,8.3,1.061897,1.029,0.971817298,75.9622602,73.82143848,0.197688756,75.65536559,73.523193,0.195004988,75.65536559,73.523193,0.195004988,76.1132,73.96812179,0.178043789
